idx,shopify_id,titulo_shopify,url_resuelta,score,sospechoso
1,15509672296835,CALIBRA CAT ADULT POUCH MULTIPAK CAJA 12X100G,https://www.mycalibra.es/calibra-cat-premium-adult-pouches-multipack-12x100g,0.50,
2,15509672395139,CALIBRA CAT ADULT POUCH PATO POLLO CAJA 24X100GR,https://www.mycalibra.es/calibra-cat-premium-adult-duck-chicken-100g,0.64,
3,15509672460675,CALIBRA CAT ADULT POUCH TRUCHA SALMON CAJA 24X100GR,https://www.mycalibra.es/calibra-cat-life-adult-salmon-200g,0.46,
4,15509672526211,CALIBRA CAT KITTEN POUCH MULTIPACK CAJA 12X100GR,https://www.mycalibra.es/calibra-cat-premium-kitten-pouches-multipack-12x100g,0.50,
5,15509672558979,CALIBRA CAT KITTEN POUCH PAVO POLLO CAJA 24X100GR,https://www.mycalibra.es/calibra-cat-premium-kitten-turkey-chicken-100g,0.64,
6,15509672624515,CALIBRA CAT KITTEN POUCH SALMON CAJA 24X100GR,https://www.mycalibra.es/calibra-cat-premium-kitten-salmon-100g,0.55,
7,15509672755587,CALIBRA CAT LIFE ADULT ARENQUE,https://www.mycalibra.es/calibra-cat-life-adult-herring,0.70,
8,15509672853891,CALIBRA CAT LIFE ADULT CORDERO,https://www.mycalibra.es/calibra-cat-life-adult-lamb,0.90,
9,15509672886659,CALIBRA CAT LIFE ADULT POLLO 6KG,https://www.mycalibra.es/calibra-cat-life-adult-chicken,0.82,
10,15509673083267,CALIBRA CAT LIFE KITTEN POLLO,https://www.mycalibra.es/calibra-cat-life-kitten-chicken,0.90,
11,15509673148803,CALIBRA CAT LIFE LATA ADULT POLLO 6X200GR,https://www.mycalibra.es/calibra-cat-life-adult-chicken,0.75,
12,15509673181571,CALIBRA CAT LIFE LATA ADULT SALMON 6X200GR,https://www.mycalibra.es/calibra-cat-life-adult-salmon-200g,0.73,
13,15509673279875,CALIBRA CAT LIFE LATA ADULT TERNERA 6X200GR,https://www.mycalibra.es/calibra-cat-life-adult-beef-200g,0.64,
14,15509673312643,CALIBRA CAT LIFE LATA KITTEN POLLO 6X200GR,https://www.mycalibra.es/calibra-cat-life-kitten-chicken,0.75,
